,,,,,,,,Time,ToF,Prox,Pitch,Roll,Yaw
"(14324104, 517, 9, -6.864503860473633, -5.165318965911865, 35.3737678527832)","14324104, 517, 9, -6.864503860473633, -5.165318965911865, 35.3737678527832)"," 517, 9, -6.864503860473633, -5.165318965911865, 35.3737678527832)"," 9, -6.864503860473633, -5.165318965911865, 35.3737678527832)"," -6.864503860473633, -5.165318965911865, 35.3737678527832)"," -5.165318965911865, 35.3737678527832)", 35.3737678527832),,14324104, 517, 9, -6.864503860473633, -5.165318965911865, 35.3737678527832
"(14402026, 521, 9, -4.4377336502075195, -4.148319244384766, 35.453460693359375)","14402026, 521, 9, -4.4377336502075195, -4.148319244384766, 35.453460693359375)"," 521, 9, -4.4377336502075195, -4.148319244384766, 35.453460693359375)"," 9, -4.4377336502075195, -4.148319244384766, 35.453460693359375)"," -4.4377336502075195, -4.148319244384766, 35.453460693359375)"," -4.148319244384766, 35.453460693359375)", 35.453460693359375),,14402026, 521, 9, -4.4377336502075195, -4.148319244384766, 35.453460693359375
"(14479939, 519, 9, -2.7366931438446045, -3.4213173389434814, 35.470706939697266)","14479939, 519, 9, -2.7366931438446045, -3.4213173389434814, 35.470706939697266)"," 519, 9, -2.7366931438446045, -3.4213173389434814, 35.470706939697266)"," 9, -2.7366931438446045, -3.4213173389434814, 35.470706939697266)"," -2.7366931438446045, -3.4213173389434814, 35.470706939697266)"," -3.4213173389434814, 35.470706939697266)", 35.470706939697266),,14479939, 519, 9, -2.7366931438446045, -3.4213173389434814, 35.470706939697266
"(14557865, 521, 9, -1.527169108390808, -2.939845323562622, 35.389225006103516)","14557865, 521, 9, -1.527169108390808, -2.939845323562622, 35.389225006103516)"," 521, 9, -1.527169108390808, -2.939845323562622, 35.389225006103516)"," 9, -1.527169108390808, -2.939845323562622, 35.389225006103516)"," -1.527169108390808, -2.939845323562622, 35.389225006103516)"," -2.939845323562622, 35.389225006103516)", 35.389225006103516),,14557865, 521, 9, -1.527169108390808, -2.939845323562622, 35.389225006103516
"(14635779, 522, 9, -0.6940420866012573, -2.584153413772583, 35.45880889892578)","14635779, 522, 9, -0.6940420866012573, -2.584153413772583, 35.45880889892578)"," 522, 9, -0.6940420866012573, -2.584153413772583, 35.45880889892578)"," 9, -0.6940420866012573, -2.584153413772583, 35.45880889892578)"," -0.6940420866012573, -2.584153413772583, 35.45880889892578)"," -2.584153413772583, 35.45880889892578)", 35.45880889892578),,14635779, 522, 9, -0.6940420866012573, -2.584153413772583, 35.45880889892578
"(14713696, 522, 9, -0.0857466608285904, -2.373077630996704, 35.482601165771484)","14713696, 522, 9, -0.0857466608285904, -2.373077630996704, 35.482601165771484)"," 522, 9, -0.0857466608285904, -2.373077630996704, 35.482601165771484)"," 9, -0.0857466608285904, -2.373077630996704, 35.482601165771484)"," -0.0857466608285904, -2.373077630996704, 35.482601165771484)"," -2.373077630996704, 35.482601165771484)", 35.482601165771484),,14713696, 522, 9, -0.0857466608285904, -2.373077630996704, 35.482601165771484
"(14791601, 520, 9, 0.3163958489894867, -2.194772720336914, 35.53315353393555)","14791601, 520, 9, 0.3163958489894867, -2.194772720336914, 35.53315353393555)"," 520, 9, 0.3163958489894867, -2.194772720336914, 35.53315353393555)"," 9, 0.3163958489894867, -2.194772720336914, 35.53315353393555)"," 0.3163958489894867, -2.194772720336914, 35.53315353393555)"," -2.194772720336914, 35.53315353393555)", 35.53315353393555),,14791601, 520, 9, 0.3163958489894867, -2.194772720336914, 35.53315353393555
"(14869437, 522, 9, 0.6201004385948181, -2.117086887359619, 35.60087585449219)","14869437, 522, 9, 0.6201004385948181, -2.117086887359619, 35.60087585449219)"," 522, 9, 0.6201004385948181, -2.117086887359619, 35.60087585449219)"," 9, 0.6201004385948181, -2.117086887359619, 35.60087585449219)"," 0.6201004385948181, -2.117086887359619, 35.60087585449219)"," -2.117086887359619, 35.60087585449219)", 35.60087585449219),,14869437, 522, 9, 0.6201004385948181, -2.117086887359619, 35.60087585449219
"(14947274, 521, 9, 0.8612926602363586, -2.0165646076202393, 35.55097198486328)","14947274, 521, 9, 0.8612926602363586, -2.0165646076202393, 35.55097198486328)"," 521, 9, 0.8612926602363586, -2.0165646076202393, 35.55097198486328)"," 9, 0.8612926602363586, -2.0165646076202393, 35.55097198486328)"," 0.8612926602363586, -2.0165646076202393, 35.55097198486328)"," -2.0165646076202393, 35.55097198486328)", 35.55097198486328),,14947274, 521, 9, 0.8612926602363586, -2.0165646076202393, 35.55097198486328
"(15025102, 521, 9, 1.039204478263855, -1.9604145288467407, 35.57770538330078)","15025102, 521, 9, 1.039204478263855, -1.9604145288467407, 35.57770538330078)"," 521, 9, 1.039204478263855, -1.9604145288467407, 35.57770538330078)"," 9, 1.039204478263855, -1.9604145288467407, 35.57770538330078)"," 1.039204478263855, -1.9604145288467407, 35.57770538330078)"," -1.9604145288467407, 35.57770538330078)", 35.57770538330078),,15025102, 521, 9, 1.039204478263855, -1.9604145288467407, 35.57770538330078
"(15102944, 524, 9, 1.182990312576294, -1.9404932260513306, 35.45709991455078)","15102944, 524, 9, 1.182990312576294, -1.9404932260513306, 35.45709991455078)"," 524, 9, 1.182990312576294, -1.9404932260513306, 35.45709991455078)"," 9, 1.182990312576294, -1.9404932260513306, 35.45709991455078)"," 1.182990312576294, -1.9404932260513306, 35.45709991455078)"," -1.9404932260513306, 35.45709991455078)", 35.45709991455078),,15102944, 524, 9, 1.182990312576294, -1.9404932260513306, 35.45709991455078
"(15180779, 523, 9, 1.2663005590438843, -1.8481625318527222, 35.737510681152344)","15180779, 523, 9, 1.2663005590438843, -1.8481625318527222, 35.737510681152344)"," 523, 9, 1.2663005590438843, -1.8481625318527222, 35.737510681152344)"," 9, 1.2663005590438843, -1.8481625318527222, 35.737510681152344)"," 1.2663005590438843, -1.8481625318527222, 35.737510681152344)"," -1.8481625318527222, 35.737510681152344)", 35.737510681152344),,15180779, 523, 9, 1.2663005590438843, -1.8481625318527222, 35.737510681152344
"(15258609, 520, 8, 1.3787685632705688, -1.8258609771728516, 35.80107879638672)","15258609, 520, 8, 1.3787685632705688, -1.8258609771728516, 35.80107879638672)"," 520, 8, 1.3787685632705688, -1.8258609771728516, 35.80107879638672)"," 8, 1.3787685632705688, -1.8258609771728516, 35.80107879638672)"," 1.3787685632705688, -1.8258609771728516, 35.80107879638672)"," -1.8258609771728516, 35.80107879638672)", 35.80107879638672),,15258609, 520, 8, 1.3787685632705688, -1.8258609771728516, 35.80107879638672
"(15336444, 520, 9, 1.468375563621521, -1.7554281949996948, 35.69770812988281)","15336444, 520, 9, 1.468375563621521, -1.7554281949996948, 35.69770812988281)"," 520, 9, 1.468375563621521, -1.7554281949996948, 35.69770812988281)"," 9, 1.468375563621521, -1.7554281949996948, 35.69770812988281)"," 1.468375563621521, -1.7554281949996948, 35.69770812988281)"," -1.7554281949996948, 35.69770812988281)", 35.69770812988281),,15336444, 520, 9, 1.468375563621521, -1.7554281949996948, 35.69770812988281
"(15414271, 521, 9, 1.5147051811218262, -1.7240242958068848, 35.83671188354492)","15414271, 521, 9, 1.5147051811218262, -1.7240242958068848, 35.83671188354492)"," 521, 9, 1.5147051811218262, -1.7240242958068848, 35.83671188354492)"," 9, 1.5147051811218262, -1.7240242958068848, 35.83671188354492)"," 1.5147051811218262, -1.7240242958068848, 35.83671188354492)"," -1.7240242958068848, 35.83671188354492)", 35.83671188354492),,15414271, 521, 9, 1.5147051811218262, -1.7240242958068848, 35.83671188354492
"(15492105, 522, 9, 1.5493851900100708, -1.6793675422668457, 35.82067108154297)","15492105, 522, 9, 1.5493851900100708, -1.6793675422668457, 35.82067108154297)"," 522, 9, 1.5493851900100708, -1.6793675422668457, 35.82067108154297)"," 9, 1.5493851900100708, -1.6793675422668457, 35.82067108154297)"," 1.5493851900100708, -1.6793675422668457, 35.82067108154297)"," -1.6793675422668457, 35.82067108154297)", 35.82067108154297),,15492105, 522, 9, 1.5493851900100708, -1.6793675422668457, 35.82067108154297
"(15569941, 522, 9, 1.6151641607284546, -1.6983472108840942, 36.01494598388672)","15569941, 522, 9, 1.6151641607284546, -1.6983472108840942, 36.01494598388672)"," 522, 9, 1.6151641607284546, -1.6983472108840942, 36.01494598388672)"," 9, 1.6151641607284546, -1.6983472108840942, 36.01494598388672)"," 1.6151641607284546, -1.6983472108840942, 36.01494598388672)"," -1.6983472108840942, 36.01494598388672)", 36.01494598388672),,15569941, 522, 9, 1.6151641607284546, -1.6983472108840942, 36.01494598388672
"(15647786, 521, 9, 1.6337981224060059, -1.6658271551132202, 36.095157623291016)","15647786, 521, 9, 1.6337981224060059, -1.6658271551132202, 36.095157623291016)"," 521, 9, 1.6337981224060059, -1.6658271551132202, 36.095157623291016)"," 9, 1.6337981224060059, -1.6658271551132202, 36.095157623291016)"," 1.6337981224060059, -1.6658271551132202, 36.095157623291016)"," -1.6658271551132202, 36.095157623291016)", 36.095157623291016),,15647786, 521, 9, 1.6337981224060059, -1.6658271551132202, 36.095157623291016
"(15725620, 520, 9, 1.626423954963684, -1.6309559345245361, 36.09456253051758)","15725620, 520, 9, 1.626423954963684, -1.6309559345245361, 36.09456253051758)"," 520, 9, 1.626423954963684, -1.6309559345245361, 36.09456253051758)"," 9, 1.626423954963684, -1.6309559345245361, 36.09456253051758)"," 1.626423954963684, -1.6309559345245361, 36.09456253051758)"," -1.6309559345245361, 36.09456253051758)", 36.09456253051758),,15725620, 520, 9, 1.626423954963684, -1.6309559345245361, 36.09456253051758
"(15803453, 523, 9, 1.59407639503479, -1.5915944576263428, 35.896732330322266)","15803453, 523, 9, 1.59407639503479, -1.5915944576263428, 35.896732330322266)"," 523, 9, 1.59407639503479, -1.5915944576263428, 35.896732330322266)"," 9, 1.59407639503479, -1.5915944576263428, 35.896732330322266)"," 1.59407639503479, -1.5915944576263428, 35.896732330322266)"," -1.5915944576263428, 35.896732330322266)", 35.896732330322266),,15803453, 523, 9, 1.59407639503479, -1.5915944576263428, 35.896732330322266
"(15888057, 523, 9, 1.4590587615966797, -1.6510714292526245, 36.12144470214844)","15888057, 523, 9, 1.4590587615966797, -1.6510714292526245, 36.12144470214844)"," 523, 9, 1.4590587615966797, -1.6510714292526245, 36.12144470214844)"," 9, 1.4590587615966797, -1.6510714292526245, 36.12144470214844)"," 1.4590587615966797, -1.6510714292526245, 36.12144470214844)"," -1.6510714292526245, 36.12144470214844)", 36.12144470214844),,15888057, 523, 9, 1.4590587615966797, -1.6510714292526245, 36.12144470214844
"(15965885, 521, 9, 1.4973208904266357, -1.5982564687728882, 36.293731689453125)","15965885, 521, 9, 1.4973208904266357, -1.5982564687728882, 36.293731689453125)"," 521, 9, 1.4973208904266357, -1.5982564687728882, 36.293731689453125)"," 9, 1.4973208904266357, -1.5982564687728882, 36.293731689453125)"," 1.4973208904266357, -1.5982564687728882, 36.293731689453125)"," -1.5982564687728882, 36.293731689453125)", 36.293731689453125),,15965885, 521, 9, 1.4973208904266357, -1.5982564687728882, 36.293731689453125
"(16043715, 522, 9, 1.5117835998535156, -1.5945147275924683, 36.413734436035156)","16043715, 522, 9, 1.5117835998535156, -1.5945147275924683, 36.413734436035156)"," 522, 9, 1.5117835998535156, -1.5945147275924683, 36.413734436035156)"," 9, 1.5117835998535156, -1.5945147275924683, 36.413734436035156)"," 1.5117835998535156, -1.5945147275924683, 36.413734436035156)"," -1.5945147275924683, 36.413734436035156)", 36.413734436035156),,16043715, 522, 9, 1.5117835998535156, -1.5945147275924683, 36.413734436035156
"(16121557, 520, 9, 1.5166208744049072, -1.5699716806411743, 36.33293533325195)","16121557, 520, 9, 1.5166208744049072, -1.5699716806411743, 36.33293533325195)"," 520, 9, 1.5166208744049072, -1.5699716806411743, 36.33293533325195)"," 9, 1.5166208744049072, -1.5699716806411743, 36.33293533325195)"," 1.5166208744049072, -1.5699716806411743, 36.33293533325195)"," -1.5699716806411743, 36.33293533325195)", 36.33293533325195),,16121557, 520, 9, 1.5166208744049072, -1.5699716806411743, 36.33293533325195
"(16199388, 521, 9, 1.52804434299469, -1.5120162963867188, 36.403038024902344)","16199388, 521, 9, 1.52804434299469, -1.5120162963867188, 36.403038024902344)"," 521, 9, 1.52804434299469, -1.5120162963867188, 36.403038024902344)"," 9, 1.52804434299469, -1.5120162963867188, 36.403038024902344)"," 1.52804434299469, -1.5120162963867188, 36.403038024902344)"," -1.5120162963867188, 36.403038024902344)", 36.403038024902344),,16199388, 521, 9, 1.52804434299469, -1.5120162963867188, 36.403038024902344
"(16277220, 524, 9, 1.5754324197769165, -1.4869440793991089, 36.287193298339844)","16277220, 524, 9, 1.5754324197769165, -1.4869440793991089, 36.287193298339844)"," 524, 9, 1.5754324197769165, -1.4869440793991089, 36.287193298339844)"," 9, 1.5754324197769165, -1.4869440793991089, 36.287193298339844)"," 1.5754324197769165, -1.4869440793991089, 36.287193298339844)"," -1.4869440793991089, 36.287193298339844)", 36.287193298339844),,16277220, 524, 9, 1.5754324197769165, -1.4869440793991089, 36.287193298339844
"(16355059, 521, 9, 1.6094599962234497, -1.515604019165039, 36.608604431152344)","16355059, 521, 9, 1.6094599962234497, -1.515604019165039, 36.608604431152344)"," 521, 9, 1.6094599962234497, -1.515604019165039, 36.608604431152344)"," 9, 1.6094599962234497, -1.515604019165039, 36.608604431152344)"," 1.6094599962234497, -1.515604019165039, 36.608604431152344)"," -1.515604019165039, 36.608604431152344)", 36.608604431152344),,16355059, 521, 9, 1.6094599962234497, -1.515604019165039, 36.608604431152344
"(16432883, 521, 8, 1.5604597330093384, -1.5045671463012695, 36.79039001464844)","16432883, 521, 8, 1.5604597330093384, -1.5045671463012695, 36.79039001464844)"," 521, 8, 1.5604597330093384, -1.5045671463012695, 36.79039001464844)"," 8, 1.5604597330093384, -1.5045671463012695, 36.79039001464844)"," 1.5604597330093384, -1.5045671463012695, 36.79039001464844)"," -1.5045671463012695, 36.79039001464844)", 36.79039001464844),,16432883, 521, 8, 1.5604597330093384, -1.5045671463012695, 36.79039001464844
"(16510725, 521, 9, 1.5210797786712646, -1.5381673574447632, 36.81712341308594)","16510725, 521, 9, 1.5210797786712646, -1.5381673574447632, 36.81712341308594)"," 521, 9, 1.5210797786712646, -1.5381673574447632, 36.81712341308594)"," 9, 1.5210797786712646, -1.5381673574447632, 36.81712341308594)"," 1.5210797786712646, -1.5381673574447632, 36.81712341308594)"," -1.5381673574447632, 36.81712341308594)", 36.81712341308594),,16510725, 521, 9, 1.5210797786712646, -1.5381673574447632, 36.81712341308594
"(16588554, 523, 9, 1.4949456453323364, -1.5792943239212036, 37.00306701660156)","16588554, 523, 9, 1.4949456453323364, -1.5792943239212036, 37.00306701660156)"," 523, 9, 1.4949456453323364, -1.5792943239212036, 37.00306701660156)"," 9, 1.4949456453323364, -1.5792943239212036, 37.00306701660156)"," 1.4949456453323364, -1.5792943239212036, 37.00306701660156)"," -1.5792943239212036, 37.00306701660156)", 37.00306701660156),,16588554, 523, 9, 1.4949456453323364, -1.5792943239212036, 37.00306701660156
"(16666391, 521, 9, 1.4960012435913086, -1.5758055448532104, 37.25971603393555)","16666391, 521, 9, 1.4960012435913086, -1.5758055448532104, 37.25971603393555)"," 521, 9, 1.4960012435913086, -1.5758055448532104, 37.25971603393555)"," 9, 1.4960012435913086, -1.5758055448532104, 37.25971603393555)"," 1.4960012435913086, -1.5758055448532104, 37.25971603393555)"," -1.5758055448532104, 37.25971603393555)", 37.25971603393555),,16666391, 521, 9, 1.4960012435913086, -1.5758055448532104, 37.25971603393555
"(16744220, 522, 8, 1.5106306076049805, -1.5972630977630615, 37.22526168823242)","16744220, 522, 8, 1.5106306076049805, -1.5972630977630615, 37.22526168823242)"," 522, 8, 1.5106306076049805, -1.5972630977630615, 37.22526168823242)"," 8, 1.5106306076049805, -1.5972630977630615, 37.22526168823242)"," 1.5106306076049805, -1.5972630977630615, 37.22526168823242)"," -1.5972630977630615, 37.22526168823242)", 37.22526168823242),,16744220, 522, 8, 1.5106306076049805, -1.5972630977630615, 37.22526168823242
"(16822056, 521, 9, 1.498565912246704, -1.653232455253601, 37.33635711669922)","16822056, 521, 9, 1.498565912246704, -1.653232455253601, 37.33635711669922)"," 521, 9, 1.498565912246704, -1.653232455253601, 37.33635711669922)"," 9, 1.498565912246704, -1.653232455253601, 37.33635711669922)"," 1.498565912246704, -1.653232455253601, 37.33635711669922)"," -1.653232455253601, 37.33635711669922)", 37.33635711669922),,16822056, 521, 9, 1.498565912246704, -1.653232455253601, 37.33635711669922
"(16899886, 522, 9, 1.4852354526519775, -1.7134398221969604, 37.765869140625)","16899886, 522, 9, 1.4852354526519775, -1.7134398221969604, 37.765869140625)"," 522, 9, 1.4852354526519775, -1.7134398221969604, 37.765869140625)"," 9, 1.4852354526519775, -1.7134398221969604, 37.765869140625)"," 1.4852354526519775, -1.7134398221969604, 37.765869140625)"," -1.7134398221969604, 37.765869140625)", 37.765869140625),,16899886, 522, 9, 1.4852354526519775, -1.7134398221969604, 37.765869140625
"(16977726, 520, 9, 1.5054796934127808, -1.7335152626037598, 37.568626403808594)","16977726, 520, 9, 1.5054796934127808, -1.7335152626037598, 37.568626403808594)"," 520, 9, 1.5054796934127808, -1.7335152626037598, 37.568626403808594)"," 9, 1.5054796934127808, -1.7335152626037598, 37.568626403808594)"," 1.5054796934127808, -1.7335152626037598, 37.568626403808594)"," -1.7335152626037598, 37.568626403808594)", 37.568626403808594),,16977726, 520, 9, 1.5054796934127808, -1.7335152626037598, 37.568626403808594
"(17055558, 523, 9, 1.5119603872299194, -1.749087929725647, 37.3915901184082)","17055558, 523, 9, 1.5119603872299194, -1.749087929725647, 37.3915901184082)"," 523, 9, 1.5119603872299194, -1.749087929725647, 37.3915901184082)"," 9, 1.5119603872299194, -1.749087929725647, 37.3915901184082)"," 1.5119603872299194, -1.749087929725647, 37.3915901184082)"," -1.749087929725647, 37.3915901184082)", 37.3915901184082),,17055558, 523, 9, 1.5119603872299194, -1.749087929725647, 37.3915901184082
"(17133390, 523, 9, 1.540618658065796, -1.798545002937317, 37.19316101074219)","17133390, 523, 9, 1.540618658065796, -1.798545002937317, 37.19316101074219)"," 523, 9, 1.540618658065796, -1.798545002937317, 37.19316101074219)"," 9, 1.540618658065796, -1.798545002937317, 37.19316101074219)"," 1.540618658065796, -1.798545002937317, 37.19316101074219)"," -1.798545002937317, 37.19316101074219)", 37.19316101074219),,17133390, 523, 9, 1.540618658065796, -1.798545002937317, 37.19316101074219
"(17211226, 522, 9, 1.558363914489746, -1.7752043008804321, 37.4313850402832)","17211226, 522, 9, 1.558363914489746, -1.7752043008804321, 37.4313850402832)"," 522, 9, 1.558363914489746, -1.7752043008804321, 37.4313850402832)"," 9, 1.558363914489746, -1.7752043008804321, 37.4313850402832)"," 1.558363914489746, -1.7752043008804321, 37.4313850402832)"," -1.7752043008804321, 37.4313850402832)", 37.4313850402832),,17211226, 522, 9, 1.558363914489746, -1.7752043008804321, 37.4313850402832
"(17289060, 518, 9, 1.5815355777740479, -1.7573374509811401, 37.62565612792969)","17289060, 518, 9, 1.5815355777740479, -1.7573374509811401, 37.62565612792969)"," 518, 9, 1.5815355777740479, -1.7573374509811401, 37.62565612792969)"," 9, 1.5815355777740479, -1.7573374509811401, 37.62565612792969)"," 1.5815355777740479, -1.7573374509811401, 37.62565612792969)"," -1.7573374509811401, 37.62565612792969)", 37.62565612792969),,17289060, 518, 9, 1.5815355777740479, -1.7573374509811401, 37.62565612792969
"(17366892, 522, 9, 1.570725917816162, -1.7680277824401855, 37.8549690246582)","17366892, 522, 9, 1.570725917816162, -1.7680277824401855, 37.8549690246582)"," 522, 9, 1.570725917816162, -1.7680277824401855, 37.8549690246582)"," 9, 1.570725917816162, -1.7680277824401855, 37.8549690246582)"," 1.570725917816162, -1.7680277824401855, 37.8549690246582)"," -1.7680277824401855, 37.8549690246582)", 37.8549690246582),,17366892, 522, 9, 1.570725917816162, -1.7680277824401855, 37.8549690246582
"(17446385, 522, 9, 1.4920710325241089, -1.7497613430023193, 37.77791213989258)","17446385, 522, 9, 1.4920710325241089, -1.7497613430023193, 37.77791213989258)"," 522, 9, 1.4920710325241089, -1.7497613430023193, 37.77791213989258)"," 9, 1.4920710325241089, -1.7497613430023193, 37.77791213989258)"," 1.4920710325241089, -1.7497613430023193, 37.77791213989258)"," -1.7497613430023193, 37.77791213989258)", 37.77791213989258),,17446385, 522, 9, 1.4920710325241089, -1.7497613430023193, 37.77791213989258
"(17525950, 524, 9, 1.4524346590042114, -1.7287582159042358, 38.00384521484375)","17525950, 524, 9, 1.4524346590042114, -1.7287582159042358, 38.00384521484375)"," 524, 9, 1.4524346590042114, -1.7287582159042358, 38.00384521484375)"," 9, 1.4524346590042114, -1.7287582159042358, 38.00384521484375)"," 1.4524346590042114, -1.7287582159042358, 38.00384521484375)"," -1.7287582159042358, 38.00384521484375)", 38.00384521484375),,17525950, 524, 9, 1.4524346590042114, -1.7287582159042358, 38.00384521484375
"(17605514, 520, 8, 1.4769998788833618, -1.7514736652374268, 38.06821823120117)","17605514, 520, 8, 1.4769998788833618, -1.7514736652374268, 38.06821823120117)"," 520, 8, 1.4769998788833618, -1.7514736652374268, 38.06821823120117)"," 8, 1.4769998788833618, -1.7514736652374268, 38.06821823120117)"," 1.4769998788833618, -1.7514736652374268, 38.06821823120117)"," -1.7514736652374268, 38.06821823120117)", 38.06821823120117),,17605514, 520, 8, 1.4769998788833618, -1.7514736652374268, 38.06821823120117
"(17685085, 522, 9, 1.48568856716156, -1.768768548965454, 38.124698638916016)","17685085, 522, 9, 1.48568856716156, -1.768768548965454, 38.124698638916016)"," 522, 9, 1.48568856716156, -1.768768548965454, 38.124698638916016)"," 9, 1.48568856716156, -1.768768548965454, 38.124698638916016)"," 1.48568856716156, -1.768768548965454, 38.124698638916016)"," -1.768768548965454, 38.124698638916016)", 38.124698638916016),,17685085, 522, 9, 1.48568856716156, -1.768768548965454, 38.124698638916016
"(17764648, 523, 8, 1.486240029335022, -1.7296833992004395, 38.10344314575195)","17764648, 523, 8, 1.486240029335022, -1.7296833992004395, 38.10344314575195)"," 523, 8, 1.486240029335022, -1.7296833992004395, 38.10344314575195)"," 8, 1.486240029335022, -1.7296833992004395, 38.10344314575195)"," 1.486240029335022, -1.7296833992004395, 38.10344314575195)"," -1.7296833992004395, 38.10344314575195)", 38.10344314575195),,17764648, 523, 8, 1.486240029335022, -1.7296833992004395, 38.10344314575195
"(17858548, 522, 9, 1.1664742231369019, -1.8475446701049805, 37.97516632080078)","17858548, 522, 9, 1.1664742231369019, -1.8475446701049805, 37.97516632080078)"," 522, 9, 1.1664742231369019, -1.8475446701049805, 37.97516632080078)"," 9, 1.1664742231369019, -1.8475446701049805, 37.97516632080078)"," 1.1664742231369019, -1.8475446701049805, 37.97516632080078)"," -1.8475446701049805, 37.97516632080078)", 37.97516632080078),,17858548, 522, 9, 1.1664742231369019, -1.8475446701049805, 37.97516632080078
