,,,,,x,y,z,dt
"6.35, 13.67, 1002.93, 02189.00","13.67, 1002.93, 02189.00","1002.93, 02189.00",,,6.35,13.67,1002.93,2189
"2.93, 20.51, 1007.81, 02189.00","20.51, 1007.81, 02189.00","1007.81, 02189.00",,,2.93,20.51,1007.81,2189
"11.23, 24.90, 1001.46, 02183.00","24.90, 1001.46, 02183.00","1001.46, 02183.00",,,11.23,24.9,1001.46,2183
"12.70, 20.51, 1002.93, 02184.00","20.51, 1002.93, 02184.00","1002.93, 02184.00",,,12.7,20.51,1002.93,2184
"6.35, 32.71, 1005.37, 02189.00","32.71, 1005.37, 02189.00","1005.37, 02189.00",,,6.35,32.71,1005.37,2189
"7.81, 12.21, 1013.67, 02189.00","12.21, 1013.67, 02189.00","1013.67, 02189.00",,,7.81,12.21,1013.67,2189
"-7.32, 18.07, 1005.37, 02197.00","18.07, 1005.37, 02197.00","1005.37, 02197.00",,,-7.32,18.07,1005.37,2197
"2.44, 26.86, 1004.88, 02189.00","26.86, 1004.88, 02189.00","1004.88, 02189.00",,,2.44,26.86,1004.88,2189
"-8.79, 12.70, 993.65, 02196.00","12.70, 993.65, 02196.00","993.65, 02196.00",,,-8.79,12.7,993.65,2196
"40.53, -56.64, 833.01, 02193.00","-56.64, 833.01, 02193.00","833.01, 02193.00",,,40.53,-56.64,833.01,2193
"-50.29, -17.09, 958.01, 02205.00","-17.09, 958.01, 02205.00","958.01, 02205.00",,,-50.29,-17.09,958.01,2205
"-10.25, 0.98, 961.91, 02196.00","0.98, 961.91, 02196.00","961.91, 02196.00",,,-10.25,0.98,961.91,2196
"321.29, 411.62, 1076.66, 02188.00","411.62, 1076.66, 02188.00","1076.66, 02188.00",,,321.29,411.62,1076.66,2188
"2.44, 15.14, 958.50, 02186.00","15.14, 958.50, 02186.00","958.50, 02186.00",,,2.44,15.14,958.5,2186
"7.81, 21.48, 996.09, 02185.00","21.48, 996.09, 02185.00","996.09, 02185.00",,,7.81,21.48,996.09,2185
"0.00, 11.72, 974.61, 02167.00","11.72, 974.61, 02167.00","974.61, 02167.00",,,0,11.72,974.61,2167
"2.93, 17.09, 981.45, 02185.00","17.09, 981.45, 02185.00","981.45, 02185.00",,,2.93,17.09,981.45,2185
"366.21, -15.63, 1048.83, 02197.00","-15.63, 1048.83, 02197.00","1048.83, 02197.00",,,366.21,-15.63,1048.83,2197
"13.67, -24.41, 813.48, 02195.00","-24.41, 813.48, 02195.00","813.48, 02195.00",,,13.67,-24.41,813.48,2195
"-311.04, 397.95, 928.71, 02199.00","397.95, 928.71, 02199.00","928.71, 02199.00",,,-311.04,397.95,928.71,2199
"14.65, 12.70, 972.17, 02182.00","12.70, 972.17, 02182.00","972.17, 02182.00",,,14.65,12.7,972.17,2182
"-2.93, 14.16, 978.52, 02198.00","14.16, 978.52, 02198.00","978.52, 02198.00",,,-2.93,14.16,978.52,2198
"-10.74, 15.14, 979.49, 02200.00","15.14, 979.49, 02200.00","979.49, 02200.00",,,-10.74,15.14,979.49,2200
"-47.36, 254.88, -142.58, 02220.00","254.88, -142.58, 02220.00","-142.58, 02220.00",,,-47.36,254.88,-142.58,2220
"20.02, 8.79, 975.10, 02179.00","8.79, 975.10, 02179.00","975.10, 02179.00",,,20.02,8.79,975.1,2179
"197.27, -124.02, 1147.95, 02196.00","-124.02, 1147.95, 02196.00","1147.95, 02196.00",,,197.27,-124.02,1147.95,2196
"5.37, 17.09, 980.47, 02186.00","17.09, 980.47, 02186.00","980.47, 02186.00",,,5.37,17.09,980.47,2186
"-8.30, 17.58, 966.80, 02192.00","17.58, 966.80, 02192.00","966.80, 02192.00",,,-8.3,17.58,966.8,2192
"15.63, 30.76, 976.07, 02183.00","30.76, 976.07, 02183.00","976.07, 02183.00",,,15.63,30.76,976.07,2183
"4.39, 14.16, 991.21, 02188.00","14.16, 991.21, 02188.00","991.21, 02188.00",,,4.39,14.16,991.21,2188
"12.21, 14.65, 983.89, 02185.00","14.65, 983.89, 02185.00","983.89, 02185.00",,,12.21,14.65,983.89,2185
"-2000.00, 271.48, 738.77, 02197.00","271.48, 738.77, 02197.00","738.77, 02197.00",,,-2000,271.48,738.77,2197
"0.98, 32.23, 1092.29, 02187.00","32.23, 1092.29, 02187.00","1092.29, 02187.00",,,0.98,32.23,1092.29,2187
"111.33, 112.30, 1033.69, 02185.00","112.30, 1033.69, 02185.00","1033.69, 02185.00",,,111.33,112.3,1033.69,2185
"-191.89, 242.19, 970.21, 02200.00","242.19, 970.21, 02200.00","970.21, 02200.00",,,-191.89,242.19,970.21,2200
"22.95, 14.16, 952.64, 02185.00","14.16, 952.64, 02185.00","952.64, 02185.00",,,22.95,14.16,952.64,2185
"-9.77, 19.53, 987.79, 02198.00","19.53, 987.79, 02198.00","987.79, 02198.00",,,-9.77,19.53,987.79,2198
"0.98, 21.00, 983.89, 02181.00","21.00, 983.89, 02181.00","983.89, 02181.00",,,0.98,21,983.89,2181
"10.74, 13.67, 997.07, 02183.00","13.67, 997.07, 02183.00","997.07, 02183.00",,,10.74,13.67,997.07,2183
"11.72, 20.02, 973.14, 02182.00","20.02, 973.14, 02182.00","973.14, 02182.00",,,11.72,20.02,973.14,2182
"137.21, 34.67, 1001.95, 02187.00","34.67, 1001.95, 02187.00","1001.95, 02187.00",,,137.21,34.67,1001.95,2187
"-27.34, 45.90, 1028.32, 02198.00","45.90, 1028.32, 02198.00","1028.32, 02198.00",,,-27.34,45.9,1028.32,2198
"-268.07, 257.81, 1039.06, 02197.00","257.81, 1039.06, 02197.00","1039.06, 02197.00",,,-268.07,257.81,1039.06,2197
"21.00, 10.25, 958.98, 02178.00","10.25, 958.98, 02178.00","958.98, 02178.00",,,21,10.25,958.98,2178
"1.46, -4.88, 968.26, 02198.00","-4.88, 968.26, 02198.00","968.26, 02198.00",,,1.46,-4.88,968.26,2198
"-7.81, 23.93, 994.63, 02198.00","23.93, 994.63, 02198.00","994.63, 02198.00",,,-7.81,23.93,994.63,2198
"11.72, 4.88, 978.03, 02182.00","4.88, 978.03, 02182.00","978.03, 02182.00",,,11.72,4.88,978.03,2182
"-17.09, -22.46, 755.37, 02208.00","-22.46, 755.37, 02208.00","755.37, 02208.00",,,-17.09,-22.46,755.37,2208
"-23.44, 29.79, 981.93, 02199.00","29.79, 981.93, 02199.00","981.93, 02199.00",,,-23.44,29.79,981.93,2199
"-175.78, -23.93, 850.59, 02221.00","-23.93, 850.59, 02221.00","850.59, 02221.00",,,-175.78,-23.93,850.59,2221
"10.74, 17.58, 988.77, 02185.00","17.58, 988.77, 02185.00","988.77, 02185.00",,,10.74,17.58,988.77,2185
"1.95, 6.35, 962.40, 02182.00","6.35, 962.40, 02182.00","962.40, 02182.00",,,1.95,6.35,962.4,2182
"4.88, 27.34, 995.12, 02188.00","27.34, 995.12, 02188.00","995.12, 02188.00",,,4.88,27.34,995.12,2188
"-5.86, 20.02, 989.75, 02195.00","20.02, 989.75, 02195.00","989.75, 02195.00",,,-5.86,20.02,989.75,2195
"-845.70, 37.60, 876.95, 02195.00","37.60, 876.95, 02195.00","876.95, 02195.00",,,-845.7,37.6,876.95,2195
"13.67, -65.92, 960.94, 02196.00","-65.92, 960.94, 02196.00","960.94, 02196.00",,,13.67,-65.92,960.94,2196
"-365.72, -268.55, 879.88, 02221.00","-268.55, 879.88, 02221.00","879.88, 02221.00",,,-365.72,-268.55,879.88,2221
"18.55, 12.70, 943.85, 02182.00","12.70, 943.85, 02182.00","943.85, 02182.00",,,18.55,12.7,943.85,2182
"-3.42, 16.60, 982.91, 02194.00","16.60, 982.91, 02194.00","982.91, 02194.00",,,-3.42,16.6,982.91,2194
"9.77, 25.39, 969.24, 02188.00","25.39, 969.24, 02188.00","969.24, 02188.00",,,9.77,25.39,969.24,2188
"21.00, 19.04, 983.40, 02174.00","19.04, 983.40, 02174.00","983.40, 02174.00",,,21,19.04,983.4,2174
"1.46, 13.18, 979.49, 02188.00","13.18, 979.49, 02188.00","979.49, 02188.00",,,1.46,13.18,979.49,2188
"7.32, 17.58, 993.65, 02188.00","17.58, 993.65, 02188.00","993.65, 02188.00",,,7.32,17.58,993.65,2188
"768.55, 173.34, 979.98, 02187.00","173.34, 979.98, 02187.00","979.98, 02187.00",,,768.55,173.34,979.98,2187
"-40.53, -36.13, 861.82, 02210.00","-36.13, 861.82, 02210.00","861.82, 02210.00",,,-40.53,-36.13,861.82,2210
"-217.29, -166.99, 845.21, 02221.00","-166.99, 845.21, 02221.00","845.21, 02221.00",,,-217.29,-166.99,845.21,2221
"15.14, 17.58, 971.19, 02185.00","17.58, 971.19, 02185.00","971.19, 02185.00",,,15.14,17.58,971.19,2185
"16.11, 22.46, 976.07, 02182.00","22.46, 976.07, 02182.00","976.07, 02182.00",,,16.11,22.46,976.07,2182
"4.39, 31.25, 971.68, 02188.00","31.25, 971.68, 02188.00","971.68, 02188.00",,,4.39,31.25,971.68,2188
"-694.82, 977.05, -73.24, 02208.00","977.05, -73.24, 02208.00","-73.24, 02208.00",,,-694.82,977.05,-73.24,2208
"50.78, 20.51, 1027.34, 02186.00","20.51, 1027.34, 02186.00","1027.34, 02186.00",,,50.78,20.51,1027.34,2186
"100.10, 30.76, 1120.61, 02184.00","30.76, 1120.61, 02184.00","1120.61, 02184.00",,,100.1,30.76,1120.61,2184
"1.95, 42.48, 991.70, 02185.00","42.48, 991.70, 02185.00","991.70, 02185.00",,,1.95,42.48,991.7,2185
"5.86, 21.00, 951.17, 02182.00","21.00, 951.17, 02182.00","951.17, 02182.00",,,5.86,21,951.17,2182
"-2.93, 26.86, 968.26, 02199.00","26.86, 968.26, 02199.00","968.26, 02199.00",,,-2.93,26.86,968.26,2199
"14.16, 26.86, 990.23, 02185.00","26.86, 990.23, 02185.00","990.23, 02185.00",,,14.16,26.86,990.23,2185
"7.81, 15.14, 980.96, 02187.00","15.14, 980.96, 02187.00","980.96, 02187.00",,,7.81,15.14,980.96,2187
"-0.98, 33.20, 978.52, 02193.00","33.20, 978.52, 02193.00","978.52, 02193.00",,,-0.98,33.2,978.52,2193
"138.18, -42.97, 839.84, 02196.00","-42.97, 839.84, 02196.00","839.84, 02196.00",,,138.18,-42.97,839.84,2196
"-34.67, 37.60, 962.40, 02194.00","37.60, 962.40, 02194.00","962.40, 02194.00",,,-34.67,37.6,962.4,2194
"-128.91, -326.17, 1074.71, 02222.00","-326.17, 1074.71, 02222.00","1074.71, 02222.00",,,-128.91,-326.17,1074.71,2222
"-14.65, 31.25, 968.75, 02200.00","31.25, 968.75, 02200.00","968.75, 02200.00",,,-14.65,31.25,968.75,2200
"25.88, 17.09, 967.29, 02182.00","17.09, 967.29, 02182.00","967.29, 02182.00",,,25.88,17.09,967.29,2182
"5.37, 20.51, 988.28, 02188.00","20.51, 988.28, 02188.00","988.28, 02188.00",,,5.37,20.51,988.28,2188
"-457.03, 579.59, -433.11, 02210.00","579.59, -433.11, 02210.00","-433.11, 02210.00",,,-457.03,579.59,-433.11,2210
"131.84, 35.16, 1059.57, 02187.00","35.16, 1059.57, 02187.00","1059.57, 02187.00",,,131.84,35.16,1059.57,2187
"154.79, -21.00, 979.49, 02191.00","-21.00, 979.49, 02191.00","979.49, 02191.00",,,154.79,-21,979.49,2191
"-12.70, 43.95, 1000.49, 02198.00","43.95, 1000.49, 02198.00","1000.49, 02198.00",,,-12.7,43.95,1000.49,2198
"5.86, 21.00, 951.66, 02183.00","21.00, 951.66, 02183.00","951.66, 02183.00",,,5.86,21,951.66,2183
"13.67, 23.93, 984.37, 02186.00","23.93, 984.37, 02186.00","984.37, 02186.00",,,13.67,23.93,984.37,2186
"22.46, 8.30, 990.72, 02181.00","8.30, 990.72, 02181.00","990.72, 02181.00",,,22.46,8.3,990.72,2181
"-1043.95, 1999.94, -2000.00, 02209.00","1999.94, -2000.00, 02209.00","-2000.00, 02209.00",,,-1043.95,1999.94,-2000,2209
"140.14, 114.26, 1148.44, 02188.00","114.26, 1148.44, 02188.00","1148.44, 02188.00",,,140.14,114.26,1148.44,2188
"192.38, 42.97, 1144.53, 02187.00","42.97, 1144.53, 02187.00","1144.53, 02187.00",,,192.38,42.97,1144.53,2187
"250.98, 388.18, 981.93, 02187.00","388.18, 981.93, 02187.00","981.93, 02187.00",,,250.98,388.18,981.93,2187
"19.04, 15.63, 944.34, 02183.00","15.63, 944.34, 02183.00","944.34, 02183.00",,,19.04,15.63,944.34,2183
"11.72, 33.20, 993.16, 02182.00","33.20, 993.16, 02182.00","993.16, 02182.00",,,11.72,33.2,993.16,2182
"14.16, 22.46, 988.28, 02185.00","22.46, 988.28, 02185.00","988.28, 02185.00",,,14.16,22.46,988.28,2185
"-929.20, -125.49, 1081.05, 02208.00","-125.49, 1081.05, 02208.00","1081.05, 02208.00",,,-929.2,-125.49,1081.05,2208
"-33.69, -8.30, 959.96, 02207.00","-8.30, 959.96, 02207.00","959.96, 02207.00",,,-33.69,-8.3,959.96,2207
"-217.77, 129.39, 951.17, 02201.00","129.39, 951.17, 02201.00","951.17, 02201.00",,,-217.77,129.39,951.17,2201
"27.34, 14.65, 935.55, 02185.00","14.65, 935.55, 02185.00","935.55, 02185.00",,,27.34,14.65,935.55,2185
"18.07, 9.77, 1013.18, 02182.00","9.77, 1013.18, 02182.00","1013.18, 02182.00",,,18.07,9.77,1013.18,2182
"7.81, 35.16, 983.40, 02184.00","35.16, 983.40, 02184.00","983.40, 02184.00",,,7.81,35.16,983.4,2184
"-0.49, 25.88, 979.98, 02194.00","25.88, 979.98, 02194.00","979.98, 02194.00",,,-0.49,25.88,979.98,2194
"131.35, 3.91, 771.97, 02185.00","3.91, 771.97, 02185.00","771.97, 02185.00",,,131.35,3.91,771.97,2185
"-45.41, 5.37, 920.41, 02197.00","5.37, 920.41, 02197.00","920.41, 02197.00",,,-45.41,5.37,920.41,2197
"33.69, -41.99, 855.47, 02196.00","-41.99, 855.47, 02196.00","855.47, 02196.00",,,33.69,-41.99,855.47,2196
"-83.01, 3.42, 1055.18, 02196.00","3.42, 1055.18, 02196.00","1055.18, 02196.00",,,-83.01,3.42,1055.18,2196
"22.46, 15.63, 948.24, 02186.00","15.63, 948.24, 02186.00","948.24, 02186.00",,,22.46,15.63,948.24,2186
"2.93, 21.97, 978.03, 02186.00","21.97, 978.03, 02186.00","978.03, 02186.00",,,2.93,21.97,978.03,2186
"7.32, 18.07, 983.40, 02183.00","18.07, 983.40, 02183.00","983.40, 02183.00",,,7.32,18.07,983.4,2183
"0.98, 11.72, 985.84, 02186.00","11.72, 985.84, 02186.00","985.84, 02186.00",,,0.98,11.72,985.84,2186
"116.70, 99.61, 730.96, 02183.00","99.61, 730.96, 02183.00","730.96, 02183.00",,,116.7,99.61,730.96,2183
"-35.16, 46.39, 934.08, 02197.00","46.39, 934.08, 02197.00","934.08, 02197.00",,,-35.16,46.39,934.08,2197
"92.29, 7.81, 944.82, 02184.00","7.81, 944.82, 02184.00","944.82, 02184.00",,,92.29,7.81,944.82,2184
"36.13, 22.95, 1018.07, 02183.00","22.95, 1018.07, 02183.00","1018.07, 02183.00",,,36.13,22.95,1018.07,2183
"4.39, 29.30, 960.45, 02186.00","29.30, 960.45, 02186.00","960.45, 02186.00",,,4.39,29.3,960.45,2186
"1.46, 23.93, 987.79, 02188.00","23.93, 987.79, 02188.00","987.79, 02188.00",,,1.46,23.93,987.79,2188
"6.35, 31.74, 978.52, 02188.00","31.74, 978.52, 02188.00","978.52, 02188.00",,,6.35,31.74,978.52,2188
"-108.89, 288.57, -516.11, 02221.00","288.57, -516.11, 02221.00","-516.11, 02221.00",,,-108.89,288.57,-516.11,2221
"178.22, 61.04, 1112.79, 02184.00","61.04, 1112.79, 02184.00","1112.79, 02184.00",,,178.22,61.04,1112.79,2184
"84.47, -53.22, 1046.88, 02197.00","-53.22, 1046.88, 02197.00","1046.88, 02197.00",,,84.47,-53.22,1046.88,2197
"-327.15, 26.86, 1012.70, 02199.00","26.86, 1012.70, 02199.00","1012.70, 02199.00",,,-327.15,26.86,1012.7,2199
"9.77, 16.11, 937.99, 02187.00","16.11, 937.99, 02187.00","937.99, 02187.00",,,9.77,16.11,937.99,2187
"9.77, 32.71, 981.45, 02188.00","32.71, 981.45, 02188.00","981.45, 02188.00",,,9.77,32.71,981.45,2188
"14.65, 23.93, 985.84, 02185.00","23.93, 985.84, 02185.00","985.84, 02185.00",,,14.65,23.93,985.84,2185
"4.88, 27.83, 978.52, 02188.00","27.83, 978.52, 02188.00","978.52, 02188.00",,,4.88,27.83,978.52,2188
"87.89, 46.88, 808.59, 02185.00","46.88, 808.59, 02185.00","808.59, 02185.00",,,87.89,46.88,808.59,2185
"-27.83, 38.57, 945.80, 02196.00","38.57, 945.80, 02196.00","945.80, 02196.00",,,-27.83,38.57,945.8,2196
"201.66, -400.39, 1052.25, 02198.00","-400.39, 1052.25, 02198.00","1052.25, 02198.00",,,201.66,-400.39,1052.25,2198
"-21.48, 38.57, 983.89, 02199.00","38.57, 983.89, 02199.00","983.89, 02199.00",,,-21.48,38.57,983.89,2199
"12.70, 18.07, 953.61, 02180.00","18.07, 953.61, 02180.00","953.61, 02180.00",,,12.7,18.07,953.61,2180
"7.32, 26.37, 1005.37, 02189.00","26.37, 1005.37, 02189.00","1005.37, 02189.00",,,7.32,26.37,1005.37,2189
"19.53, 22.95, 975.59, 02185.00","22.95, 975.59, 02185.00","975.59, 02185.00",,,19.53,22.95,975.59,2185
"42.48, 235.35, 652.34, 02186.00","235.35, 652.34, 02186.00","652.34, 02186.00",,,42.48,235.35,652.34,2186
"-31.74, 13.67, 924.32, 02199.00","13.67, 924.32, 02199.00","924.32, 02199.00",,,-31.74,13.67,924.32,2199
"106.45, -96.19, 893.07, 02193.00","-96.19, 893.07, 02193.00","893.07, 02193.00",,,106.45,-96.19,893.07,2193
"17.09, 4.39, 964.36, 02181.00","4.39, 964.36, 02181.00","964.36, 02181.00",,,17.09,4.39,964.36,2181
"2.93, 22.95, 987.79, 02188.00","22.95, 987.79, 02188.00","987.79, 02188.00",,,2.93,22.95,987.79,2188
"-1.95, 21.00, 980.96, 02193.00","21.00, 980.96, 02193.00","980.96, 02193.00",,,-1.95,21,980.96,2193
"-97.17, 144.04, 570.80, 02195.00","144.04, 570.80, 02195.00","570.80, 02195.00",,,-97.17,144.04,570.8,2195
"129.39, -34.67, 971.19, 02196.00","-34.67, 971.19, 02196.00","971.19, 02196.00",,,129.39,-34.67,971.19,2196
"505.37, 30.27, 1108.40, 02184.00","30.27, 1108.40, 02184.00","1108.40, 02184.00",,,505.37,30.27,1108.4,2184
"138.67, 322.75, 1070.80, 02186.00","322.75, 1070.80, 02186.00","1070.80, 02186.00",,,138.67,322.75,1070.8,2186
"-7.32, 29.30, 952.15, 02196.00","29.30, 952.15, 02196.00","952.15, 02196.00",,,-7.32,29.3,952.15,2196
"-5.37, 37.60, 979.98, 02194.00","37.60, 979.98, 02194.00","979.98, 02194.00",,,-5.37,37.6,979.98,2194
"12.21, 16.60, 981.93, 02182.00","16.60, 981.93, 02182.00","981.93, 02182.00",,,12.21,16.6,981.93,2182
"-2000.00, -1026.86, 1412.60, 02207.00","-1026.86, 1412.60, 02207.00","1412.60, 02207.00",,,-2000,-1026.86,1412.6,2207
"-50.29, -18.55, 1062.01, 02209.00","-18.55, 1062.01, 02209.00","1062.01, 02209.00",,,-50.29,-18.55,1062.01,2209
"-525.88, 139.65, 765.14, 02201.00","139.65, 765.14, 02201.00","765.14, 02201.00",,,-525.88,139.65,765.14,2201
"7.81, -11.72, 936.52, 02198.00","-11.72, 936.52, 02198.00","936.52, 02198.00",,,7.81,-11.72,936.52,2198
"9.77, 20.51, 984.37, 02188.00","20.51, 984.37, 02188.00","984.37, 02188.00",,,9.77,20.51,984.37,2188
"-1.95, 27.83, 984.37, 02198.00","27.83, 984.37, 02198.00","984.37, 02198.00",,,-1.95,27.83,984.37,2198
"-706.54, 69.82, 1003.42, 02202.00","69.82, 1003.42, 02202.00","1003.42, 02202.00",,,-706.54,69.82,1003.42,2202
"-28.32, 18.55, 978.03, 02197.00","18.55, 978.03, 02197.00","978.03, 02197.00",,,-28.32,18.55,978.03,2197
"-362.79, 48.34, 913.09, 02198.00","48.34, 913.09, 02198.00","913.09, 02198.00",,,-362.79,48.34,913.09,2198
"16.11, -3.91, 947.75, 02194.00","-3.91, 947.75, 02194.00","947.75, 02194.00",,,16.11,-3.91,947.75,2194
"7.32, 22.95, 990.23, 02188.00","22.95, 990.23, 02188.00","990.23, 02188.00",,,7.32,22.95,990.23,2188
"2.44, 27.83, 978.52, 02188.00","27.83, 978.52, 02188.00","978.52, 02188.00",,,2.44,27.83,978.52,2188
"4.39, 10.74, 986.82, 02188.00","10.74, 986.82, 02188.00","986.82, 02188.00",,,4.39,10.74,986.82,2188
"-1574.71, -234.86, 1017.58, 02222.00","-234.86, 1017.58, 02222.00","1017.58, 02222.00",,,-1574.71,-234.86,1017.58,2222
"-23.44, -8.79, 999.02, 02206.00","-8.79, 999.02, 02206.00","999.02, 02206.00",,,-23.44,-8.79,999.02,2206
"248.05, -24.90, 1010.25, 02193.00","-24.90, 1010.25, 02193.00","1010.25, 02193.00",,,248.05,-24.9,1010.25,2193
"25.39, 12.70, 946.78, 02182.00","12.70, 946.78, 02182.00","946.78, 02182.00",,,25.39,12.7,946.78,2182
"-7.32, 23.93, 970.21, 02198.00","23.93, 970.21, 02198.00","970.21, 02198.00",,,-7.32,23.93,970.21,2198
"-1.46, 44.43, 979.49, 02199.00","44.43, 979.49, 02199.00","979.49, 02199.00",,,-1.46,44.43,979.49,2199
"17.58, 34.18, 980.47, 02185.00","34.18, 980.47, 02185.00","980.47, 02185.00",,,17.58,34.18,980.47,2185
"135.25, 2.93, 835.45, 02185.00","2.93, 835.45, 02185.00","835.45, 02185.00",,,135.25,2.93,835.45,2185
"-53.22, 14.16, 957.03, 02196.00","14.16, 957.03, 02196.00","957.03, 02196.00",,,-53.22,14.16,957.03,2196
"-559.08, -29.79, 919.92, 02209.00","-29.79, 919.92, 02209.00","919.92, 02209.00",,,-559.08,-29.79,919.92,2209
"11.72, 20.51, 1004.39, 02187.00","20.51, 1004.39, 02187.00","1004.39, 02187.00",,,11.72,20.51,1004.39,2187
"8.30, 21.48, 969.24, 02186.00","21.48, 969.24, 02186.00","969.24, 02186.00",,,8.3,21.48,969.24,2186
"6.84, 25.88, 984.86, 02188.00","25.88, 984.86, 02188.00","984.86, 02188.00",,,6.84,25.88,984.86,2188
"30.27, 27.83, 991.21, 02185.00","27.83, 991.21, 02185.00","991.21, 02185.00",,,30.27,27.83,991.21,2185
"588.87, 120.12, 1049.80, 02185.00","120.12, 1049.80, 02185.00","1049.80, 02185.00",,,588.87,120.12,1049.8,2185
"-49.32, 7.81, 920.41, 02197.00","7.81, 920.41, 02197.00","920.41, 02197.00",,,-49.32,7.81,920.41,2197
"45.41, -98.14, 752.44, 02195.00","-98.14, 752.44, 02195.00","752.44, 02195.00",,,45.41,-98.14,752.44,2195
"27.83, 18.55, 967.29, 02186.00","18.55, 967.29, 02186.00","967.29, 02186.00",,,27.83,18.55,967.29,2186
